date,n1,n2,n3,n4,n5,s1,s2
2024-02-16,8,13,14,24,26,1,2
2024-02-20,23,31,37,42,48,3,7
2024-02-23,24,27,28,30,49,1,12
2024-02-27,3,4,9,12,20,5,6
2024-03-01,4,7,19,20,34,2,4
2024-03-05,2,15,17,23,36,3,8
2024-03-08,8,11,12,16,44,4,7
2024-03-12,13,19,30,38,46,4,12
2024-03-15,1,4,31,34,40,4,5
2024-03-19,7,16,18,20,32,1,3
2024-03-22,8,11,23,32,44,9,10
2024-03-26,2,13,14,26,29,5,6
2024-03-29,16,17,35,36,49,1,10
2024-04-02,1,23,31,36,48,5,8
2024-04-05,13,18,26,35,37,8,11
2024-04-09,19,23,26,27,46,2,10
2024-04-12,2,3,12,16,45,2,11
2024-04-16,22,29,31,39,46,3,7
2024-04-19,10,20,40,44,46,1,3
2024-04-23,6,9,11,32,49,2,10
2024-04-26,2,20,39,40,47,4,8
2024-04-30,13,22,24,33,47,1,5
2024-05-03,6,9,10,30,49,3,4
2024-05-07,35,36,41,42,45,6,11
2024-05-10,13,28,29,44,48,4,12
2024-05-14,2,8,17,28,35,7,9
2024-05-17,18,31,32,41,46,1,10
2024-05-21,11,13,14,34,48,7,9
2024-05-24,9,12,18,22,50,1,3
2024-05-28,16,18,35,36,41,6,7
2024-05-31,4,7,16,33,34,7,8
2024-06-04,6,7,9,14,43,3,4
2024-06-07,15,16,26,30,37,5,8
2024-06-11,7,15,34,45,48,7,9
2024-06-14,2,13,16,24,32,1,7
2024-06-18,3,11,33,34,36,1,12
2024-06-21,3,4,7,11,17,3,12
2024-06-25,14,16,37,45,49,5,7
2024-06-28,10,16,18,22,35,1,10
2024-07-02,2,7,34,35,46,6,8
2024-07-05,11,13,29,31,47,1,11
2024-07-09,6,15,19,28,39,7,11
2024-07-12,12,18,24,25,39,8,10
2024-07-16,2,32,35,36,39,7,8
2024-07-19,15,22,35,44,48,6,7
2024-07-23,4,8,10,16,34,4,8
2024-07-26,4,19,23,35,37,4,8
2024-07-30,9,25,28,37,38,2,8
2024-08-02,5,7,12,33,46,3,12
2024-08-06,1,18,27,41,50,2,12
2024-08-09,21,23,25,33,44,4,10
2024-08-13,15,16,39,40,47,1,6
2024-08-16,15,17,29,45,49,1,10
2024-08-20,7,10,13,18,26,3,12
2024-08-23,9,15,24,47,50,8,9
2024-08-27,1,8,11,42,47,4,11
2024-08-30,3,24,27,33,42,4,6
2024-09-03,7,9,11,16,45,2,5
2024-09-06,12,14,34,41,47,3,4
2024-09-10,6,29,46,47,48,2,9
2024-09-13,10,15,17,31,42,4,12
2024-09-17,20,30,32,41,44,1,10
2024-09-20,16,25,29,34,37,3,7
2024-09-24,18,20,21,36,49,3,5
2024-09-27,7,20,21,27,38,5,12
2024-10-01,8,22,29,41,42,9,11
2024-10-04,4,8,16,17,20,1,6
2024-10-08,7,14,19,34,40,6,8
2024-10-11,16,23,32,46,49,4,5
2024-10-15,2,15,32,36,48,3,9
2024-10-18,4,15,23,30,39,1,12
2024-10-22,3,13,27,30,46,1,2
2024-10-25,4,17,20,25,45,8,9
2024-10-29,1,2,19,30,45,10,12
2024-11-01,7,33,38,44,50,2,7
2024-11-05,1,8,19,37,50,6,9
2024-11-08,2,33,35,42,48,1,3
2024-11-12,10,11,12,22,50,1,10
2024-11-15,7,8,34,39,44,2,6
2024-11-19,4,13,20,28,49,7,12
2024-11-22,10,11,12,29,31,8,11
2024-11-26,7,11,25,31,40,9,12
2024-11-29,8,17,18,29,43,5,9
2024-12-03,23,25,34,46,47,6,8
2024-12-06,14,25,39,44,47,6,10
2024-12-10,5,24,25,29,47,5,9
2024-12-13,1,15,25,42,50,4,10
2024-12-17,1,3,4,21,29,2,7
2024-12-20,10,14,21,33,50,6,9
2024-12-24,6,10,16,23,24,11,12
2024-12-27,12,22,27,33,45,4,8
2024-12-31,19,24,26,28,33,8,12
2025-01-03,3,19,29,35,37,1,9
2025-01-07,20,33,35,41,47,4,12
2025-01-10,12,27,36,37,42,6,7
2025-01-14,18,20,29,41,48,5,9
2025-01-17,8,15,24,35,42,6,8
2025-01-21,6,8,14,27,41,4,5
2025-01-24,2,11,19,30,49,3,8
2025-01-28,9,37,41,42,49,1,9
2025-01-31,22,30,41,44,49,2,7
2025-02-04,3,4,29,39,43,5,10
2025-02-07,10,23,24,29,45,8,10
2025-02-11,3,21,36,41,46,1,6
2025-02-14,4,14,31,36,38,3,10
2025-02-18,5,14,25,26,40,5,7
2025-02-21,1,3,11,20,43,2,11
2025-02-25,17,22,23,24,44,6,11
2025-02-28,7,16,31,43,46,5,9
2025-03-04,15,20,29,35,42,2,9
2025-03-07,6,10,27,32,48,3,8
2025-03-11,13,36,37,42,47,7,11
2025-03-14,8,10,33,35,49,2,9
2025-03-18,4,9,35,46,50,8,11
2025-03-21,9,17,18,21,50,5,12
2025-03-25,1,3,18,33,36,2,6
2025-03-28,10,21,30,42,45,1,9
2025-04-01,9,24,30,46,49,4,12
2025-04-04,27,39,41,45,50,5,7
2025-04-08,3,14,15,48,49,1,7
2025-04-11,14,28,34,46,49,3,8
2025-04-15,3,31,33,38,44,6,12
2025-04-18,20,27,35,39,48,3,8
2025-04-22,7,28,33,37,47,9,12
2025-04-25,13,22,32,39,41,1,12
2025-04-29,2,9,24,30,41,1,11
2025-05-02,3,5,19,21,49,1,10
2025-05-06,8,23,24,47,48,4,9
2025-05-09,15,18,25,29,47,5,9
2025-05-13,9,19,44,47,50,2,9
2025-05-16,6,9,25,37,46,6,12
2025-05-20,1,8,13,29,47,5,6
2025-05-23,10,29,43,46,49,7,12
2025-05-27,12,30,38,40,41,4,12
2025-05-30,4,7,14,33,36,1,5
